Wall time,Step,Value
1592945497.892471,446,-151.6699981689453
1592945505.346282,452,-150.4600067138672
1592945514.763267,461,-152.0800018310547
1592945518.230607,464,-152.97000122070312
1592945519.254378,465,-152.49000549316406
1592945534.485882,475,-154.02999877929688
1592945552.830049,492,-153.5800018310547
1592945555.490886,494,-153.5800018310547
1592945569.675777,508,-150.61000061035156
1592945577.091345,513,-149.5500030517578
1592945579.645647,515,-149.44000244140625
1592945583.064215,518,-147.8800048828125
1592945594.136165,526,-146.9199981689453
1592945602.576181,532,-148.67999267578125
1592945604.976057,534,-148.0
1592945610.11881,537,-148.75
1592945619.131324,543,-150.72999572753906
1592945627.559508,548,-151.7100067138672
1592945642.371503,558,-153.88999938964844
1592945651.811336,564,-155.5399932861328
1592945660.759051,570,-156.39999389648438
1592945665.906954,574,-155.41000366210938
1592945672.540546,580,-153.00999450683594
1592945674.238156,582,-152.9600067138672
1592945675.633849,583,-152.6999969482422
1592945678.4619,585,-151.9499969482422
1592945680.519657,587,-151.52000427246094
1592945681.962048,588,-150.42999267578125
1592945688.238584,593,-149.80999755859375
1592945689.845317,594,-149.50999450683594
1592945704.721001,603,-151.49000549316406
1592945714.904691,609,-153.05999755859375
1592945718.39813,611,-153.8800048828125
1592945727.402118,616,-155.0500030517578
1592945734.289829,621,-158.0800018310547
1592945736.648963,623,-158.47000122070312
1592945746.841817,635,-155.41000366210938
1592945754.75378,642,-150.24000549316406
1592945755.748578,643,-149.77999877929688
1592945758.035048,645,-149.3800048828125
1592945760.312744,647,-148.16000366210938
1592945761.060733,648,-148.07000732421875
1592945763.125873,650,-146.33999633789062
1592945776.610514,662,-140.58999633789062
1592945779.517118,665,-138.74000549316406
1592945784.302663,669,-137.6999969482422
1592945787.936755,672,-135.8800048828125
1592945790.842689,675,-135.7899932861328
1592945794.871134,679,-135.13999938964844
1592945795.793451,680,-135.27000427246094
1592945800.290063,684,-135.1999969482422
1592945807.040573,689,-134.67999267578125
1592945820.438396,700,-131.61000061035156
1592945825.214009,704,-129.83999633789062
1592945828.328523,707,-126.94999694824219
1592945838.94533,715,-123.38999938964844
1592945843.94753,719,-122.26000213623047
1592945847.286474,722,-120.5999984741211
1592945848.509179,723,-119.8499984741211
1592945850.105318,724,-119.55000305175781
1592945856.291626,731,-119.26000213623047
1592945864.436516,737,-120.47000122070312
1592945866.476297,739,-120.54000091552734
1592945867.433811,740,-120.55999755859375
1592945871.342825,744,-120.31999969482422
1592945875.201599,748,-119.41999816894531
1592945879.212425,752,-119.5999984741211
1592945880.2573,753,-119.5999984741211
1592945883.974709,757,-119.19000244140625
1592945893.975313,766,-119.05999755859375
1592945898.045043,770,-118.01000213623047
1592945898.963326,771,-117.94999694824219
1592945899.741928,772,-117.91000366210938
1592945901.500546,774,-117.02999877929688
1592945902.306663,775,-116.83999633789062
1592945908.935804,781,-117.3499984741211
1592945913.262373,785,-117.5
1592945914.452531,786,-117.45999908447266
1592945916.561125,788,-116.55999755859375
1592945918.778285,790,-116.13999938964844
1592945922.020198,793,-115.37000274658203
1592945923.115942,794,-115.44000244140625
1592945924.031124,795,-115.47000122070312
